Choice,x1a,x2a,x3a,x4a,p1a,p2a,p3a,p4a,x1b,x2b,x3b,x4b,p1b,p2b,p3b,p4b,MaxMinRP,MinMaxRP,XatMaxPRP,EVa ,EVb ,SQ,,,MaxMin,,,MinMax,,,XatMaxP,,,Exp,,,KR,,,,,,
36,151,230,348,,0.5,0.15,0.35,,111,269,348,,0.25,0.6,0.15,,151,348,269,231.8,241.35,2,80.8,80.35,2,-232.4,-213.3,2,-102.05,-67.15,2,-40.67,-32.5875,2,185.205,201.6525,2,0,0,0,0,0,0
37,140,200,261,,0.85,0.05,0.1,,80,110,261,,0.05,0.55,0.4,,140,261,140,155.1,168.9,2,15.1,9.4,2,-211.8,-184.2,2,15.1,9.4,1,-12.835,-36.84,1,141.96,131.235,1,0,0,0,1,1,1
38,79,170,308,,0.25,0.7,0.05,,33,216,308,,0.15,0.8,0.05,,79,308,216,154.15,193.15,2,75.15,107.25,2,-307.7,-229.7,2,-128.3,-50.3,2,-18.7875,-24.0225,2,130.5325,165.4475,2,0,0,0,0,0,0
39,192,341,,,0.15,0.85,,,192,390,439,,0.55,0.4,0.05,,192,341,341,318.65,283.55,1,126.65,91.55,1,-44.7,-139.4,1,-44.7,-139.4,1,-18.9975,-50.3525,1,299.6525,232.2175,1,0,0,0,0,0,0
40,15,290,,,0.3,0.7,,,15,382,,,0.5,0.5,,,15,290,290,207.5,198.5,1,192.5,183.5,1,-165,-229,1,-165,-229,1,-57.75,-91.75,1,149.75,106.75,1,0,0,0,0,0,0
41,95,443,,,0.3,0.7,,,95,327,559,,0.1,0.8,0.1,,95,443,327,338.6,327,1,243.6,232,1,-208.8,-243.6,1,-58,-23.2,2,-73.08,-23.2,2,265.52,285.24,2,0,0,0,1,1,1
42,102,311,,,0.15,0.85,,,102,381,450,,0.55,0.25,0.2,,102,311,311,279.65,241.35,1,177.65,139.35,1,-62.7,-184.6,1,-62.7,-184.6,1,-26.6475,-76.6425,1,253.0025,161.2575,1,0,0,0,0,0,0
43,127,284,,,0.2,0.8,,,127,336,,,0.45,0.55,,,127,284,284,252.6,241.95,1,125.6,114.95,1,-62.8,-112.7,1,-62.8,-112.7,1,-25.12,-51.7275,1,227.48,190.2225,1,0,0,0,0,0,0
44,54,259,,,0.3,0.7,,,54,191,328,,0.05,0.85,0.1,,54,259,191,197.5,197.85,2,143.5,143.85,2,-123,-129.2,1,-34.6,0,2,-43.05,-13.015,2,154.45,179.0125,2,0,1,1,0,0,0
45,127,259,390,,0.05,0.4,0.55,,127,456,521,,0.45,0.15,0.4,,127,390,390,324.45,333.95,2,197.45,206.95,2,-131.1,-174.4,1,-131.1,-174.4,1,-36.0525,-93.1275,1,285.7575,236.9225,1,0,1,1,1,1,1
